,Unnamed: 0,Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $,Dates,Time,Year,Month,Date,DateAPIFormat,Sunrise,Sunset,Day_Length,dateJoinFormat,date_time,wind_gust_set_1,weather_condition_set_1d,pressure_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,peak_wind_speed_set_1,air_temp_set_1,lat,lon,validdate,direct_rad:W,solar_power:MW
2710,9843,2022-11-26 12:00:00,26,12,31.11,39.28,6.46,0.0,14151.28,42.1,11.5,4.815789474,6.080495356,-8.17,-8.17,-0.20799389,-26596.9525,2022-11-26,12:00:00,2022,11,11/2/222,20221126,2022-11-26 06:45:33-08:00,2022-11-27T00:52:37+00:00,36424,11/26/2022 12:00:00,2022-11-26 12:00:00-08:00,,light rain,88284.45,70.0,81.06,1.543,,6.0,35.371452,-101.387665,2022-11-26 12:00:00-08:00,0.0,0.038
2711,9844,2022-12-20 07:00:00,20,7,31.11,50.44,5.98,0.0,16733.37,23.0,10.4,5.202341137,8.434782609,-19.33,-19.33,-0.383227597,-27425.86,2022-12-20,07:00:00,2022,12,12/2/222,20221220,2022-12-20 07:03:51-08:00,2022-12-21T00:55:00+00:00,35469,12/20/2022 07:00:00,2022-12-20 07:00:00-08:00,,ice fog,90183.68,360.0,100.0,4.116,,-6.0,35.371452,-101.387665,2022-12-20 07:00:00-08:00,12.1,0.058
2712,9857,2022-11-30 15:00:00,30,15,31.175,36.03,6.03,0.0,15030.86,39.0,17.3,5.169983416,5.975124378,-4.855,-4.855,-0.13474882,-26616.94,2022-11-30,15:00:00,2022,11,11/3/222,20221130,2022-11-30 06:49:11-08:00,2022-12-01T00:51:44+00:00,36153,11/30/2022 15:00:00,2022-11-30 15:00:00-08:00,,,89738.55,180.0,40.87,9.26,,3.0,35.371452,-101.387665,2022-11-30 15:00:00-08:00,5.2,0.021
2713,9867,2023-01-06 07:00:00,6,7,31.225,30.4,3.76,0.0,17285.13,42.1,6.9,8.304521277,8.085106383,0.825,0.825,0.027138158,-36030.8825,2023-01-06,07:00:00,2023,1,01/0/223,20230106,2023-01-06 07:08:40-08:00,2023-01-07T01:06:28+00:00,35868,01/06/2023 07:00:00,2023-01-06 07:00:00-08:00,,,88996.66,200.0,42.41,4.63,,8.0,35.371452,-101.387665,2023-01-06 07:00:00-08:00,101.8,0.172
2714,9868,2022-12-15 10:00:00,15,10,31.2275,47.44,6.6,0.0,17512.01,33.1,3.5,4.731439394,7.187878788,-16.2125,-16.2125,-0.34174747,-26902.3925,2022-12-15,10:00:00,2022,12,12/1/222,20221215,2022-12-15 07:00:55-08:00,2022-12-16T00:53:01+00:00,35526,12/15/2022 10:00:00,2022-12-15 10:00:00-08:00,,,89026.34,30.0,38.08,2.572,,4.0,35.371452,-101.387665,2022-12-15 10:00:00-08:00,467.6,0.645
2715,9871,2022-12-21 18:00:00,21,18,31.25,42.08,5.26,0.0,17703.73,46.9,9.2,5.941064639,8.0,-10.83,-10.83,-0.25736692,-27163.88,2022-12-21,18:00:00,2022,12,12/2/222,20221221,2022-12-21 07:04:21-08:00,2022-12-22T00:55:28+00:00,35467,12/21/2022 18:00:00,2022-12-21 18:00:00-08:00,,,88343.8,190.0,36.13,4.63,,7.0,35.371452,-101.387665,2022-12-21 18:00:00-08:00,0.0,0.0
2716,9874,2022-10-03 12:00:00,3,12,31.28,34.29,6.29,0.0,14743.22,73.9,15.0,4.972972973,5.451510334,-3.01,-3.01,-0.087780694,-26299.575,2022-10-03,12:00:00,2022,10,10/0/222,20221003,2022-10-03 06:56:59-07:00,2022-10-04T01:44:14+00:00,42435,10/03/2022 12:00:00,2022-10-03 12:00:00-07:00,,,89590.17,180.0,24.25,3.601,,26.0,35.371452,-101.387665,2022-10-03 12:00:00-07:00,707.5,0.791
2717,9884,2022-12-16 05:00:00,16,5,31.3625,38.06,6.74,0.0,15803.58,27.0,13.8,4.653189911,5.646884273,-6.6975,-6.6975,-0.175972149,-27060.4175,2022-12-16,05:00:00,2022,12,12/1/222,20221216,2022-12-16 07:01:33-08:00,2022-12-17T00:53:21+00:00,35508,12/16/2022 05:00:00,2022-12-16 05:00:00-08:00,,"light snow,mist",89263.74,30.0,85.93,4.116,,-4.0,35.371452,-101.387665,2022-12-16 05:00:00-08:00,0.0,0.0
2718,9887,2022-11-25 17:00:00,25,17,31.3675,50.27,6.46,0.0,13747.35,43.0,9.2,4.855650155,7.781733746,-18.9025,-18.9025,-0.376019495,-26544.81,2022-11-25,17:00:00,2022,11,11/2/222,20221125,2022-11-25 06:44:37-08:00,2022-11-26T00:52:55+00:00,36498,11/25/2022 17:00:00,2022-11-25 17:00:00-08:00,,,89649.52,10.0,44.8,3.087,,5.0,35.371452,-101.387665,2022-11-25 17:00:00-08:00,0.0,0.0
2719,9888,2023-01-04 06:00:00,4,6,31.3675,17.61,3.65,0.0,13985.84,24.1,0.0,8.593835616,4.824657534,13.7575,13.7575,0.781232254,-35952.3225,2023-01-04,06:00:00,2023,1,01/0/223,20230104,2023-01-04 07:08:33-08:00,2023-01-05T01:04:48+00:00,35775,01/04/2023 06:00:00,2023-01-04 06:00:00-08:00,,,88937.31,290.0,92.61,2.058,,-6.0,35.371452,-101.387665,2023-01-04 06:00:00-08:00,0.0,0.0
